,holds,grades,year,angle
1167,"[('A5', 'start'), ('A15', 'hold'), ('B18', 'end'), ('B8', 'hold'), ('D10', 'hold'), ('E15', 'hold'), ('F14', 'hold'), ('G12', 'hold')]",6A+,2019,40
1168,"[('B11', 'hold'), ('B7', 'hold'), ('C12', 'hold'), ('D15', 'hold'), ('E7', 'hold'), ('F4', 'start'), ('H18', 'end'), ('H16', 'hold'), ('I18', 'end')]",6A+,2019,40
1169,"[('A9', 'hold'), ('B8', 'hold'), ('B5', 'start'), ('D18', 'end'), ('D9', 'hold'), ('E4', 'start'), ('E10', 'hold'), ('F17', 'hold'), ('F15', 'hold'), ('G12', 'hold')]",6A+,2019,40
1170,"[('A5', 'start'), ('B18', 'end'), ('B8', 'hold'), ('C17', 'hold'), ('D12', 'hold'), ('E10', 'hold'), ('F14', 'hold')]",6A+,2019,40
1171,"[('D18', 'end'), ('H16', 'hold'), ('H12', 'hold'), ('H4', 'start'), ('I8', 'hold'), ('K10', 'hold')]",6A+,2019,40
1172,"[('B5', 'start'), ('D18', 'end'), ('D10', 'hold'), ('F15', 'hold'), ('F8', 'hold'), ('F4', 'start'), ('G12', 'hold')]",6A+,2019,40
1173,"[('B5', 'start'), ('C14', 'hold'), ('D10', 'hold'), ('D9', 'hold'), ('G4', 'start'), ('G12', 'hold'), ('H16', 'hold'), ('I8', 'hold'), ('I15', 'hold'), ('J18', 'end')]",6A+,2019,40
1174,"[('F15', 'hold'), ('G5', 'start'), ('G9', 'hold'), ('H18', 'end'), ('H12', 'hold'), ('I8', 'hold'), ('J3', 'start')]",6A+,2019,40
1175,"[('F4', 'start'), ('H12', 'hold'), ('I8', 'hold'), ('I15', 'hold'), ('J18', 'end')]",6A+,2019,40
1176,"[('D15', 'hold'), ('D9', 'hold'), ('F17', 'hold'), ('F16', 'hold'), ('G5', 'start'), ('G12', 'hold'), ('H10', 'hold'), ('H9', 'hold'), ('J18', 'end'), ('J6', 'start')]",6A+,2019,40
1177,"[('A5', 'start'), ('B8', 'hold'), ('D9', 'hold'), ('F4', 'start'), ('H12', 'hold'), ('H10', 'hold'), ('I15', 'hold'), ('J18', 'end'), ('K7', 'hold')]",6A+,2019,40
1178,"[('A14', 'hold'), ('C12', 'hold'), ('D18', 'end'), ('D15', 'hold'), ('D10', 'hold'), ('F4', 'start'), ('G9', 'hold')]",6A+,2019,40
1179,"[('A5', 'start'), ('B8', 'hold'), ('B5', 'start'), ('D18', 'end'), ('F15', 'hold'), ('F10', 'hold'), ('G9', 'hold'), ('H16', 'hold'), ('H12', 'hold')]",6A+,2019,40
1180,"[('C3', 'start'), ('D18', 'end'), ('D10', 'hold'), ('E14', 'hold'), ('F8', 'hold'), ('G12', 'hold'), ('H16', 'hold'), ('H3', 'start'), ('J7', 'hold')]",6A+,2019,40
1181,"[('D18', 'end'), ('E10', 'hold'), ('F8', 'hold'), ('F4', 'start'), ('G15', 'hold'), ('G17', 'hold'), ('H12', 'hold'), ('H6', 'hold')]",6A+,2019,40
1182,"[('A5', 'start'), ('B18', 'end'), ('B8', 'hold'), ('D9', 'hold'), ('E8', 'hold'), ('F15', 'hold'), ('H11', 'hold')]",6C+,2019,40
1183,"[('A15', 'hold'), ('B18', 'end'), ('E10', 'hold'), ('F14', 'hold'), ('H9', 'hold'), ('H6', 'start'), ('J5', 'start')]",6C+,2019,40
1184,"[('A4', 'start'), ('B18', 'end'), ('D9', 'hold'), ('D5', 'hold'), ('E14', 'hold'), ('E16', 'hold'), ('H10', 'hold')]",6C+,2019,40
1185,"[('A13', 'hold'), ('B11', 'hold'), ('B8', 'hold'), ('E2', 'start'), ('E16', 'hold'), ('F14', 'hold'), ('F5', 'start'), ('H18', 'end')]",6C+,2019,40
1186,"[('A6', 'start'), ('B18', 'end'), ('D12', 'hold'), ('D3', 'start'), ('E8', 'hold'), ('E9', 'hold'), ('E15', 'hold'), ('G6', 'hold'), ('G17', 'hold'), ('H13', 'hold')]",6C+,2019,40
1187,"[('B18', 'end'), ('D12', 'hold'), ('F14', 'hold'), ('G5', 'start'), ('H10', 'hold'), ('J3', 'start')]",6C+,2019,40
1188,"[('A7', 'hold'), ('A15', 'hold'), ('B18', 'end'), ('C6', 'start'), ('C14', 'hold'), ('D14', 'hold'), ('D9', 'hold'), ('G5', 'start'), ('H10', 'hold')]",6C+,2019,40
1189,"[('A9', 'hold'), ('B16', 'hold'), ('C12', 'hold'), ('D18', 'end'), ('E7', 'hold'), ('G6', 'hold'), ('I2', 'start'), ('J6', 'start')]",6C+,2019,40
1190,"[('A4', 'start'), ('A9', 'hold'), ('B18', 'end'), ('E2', 'hold'), ('E14', 'hold'), ('E15', 'hold'), ('F10', 'hold')]",6C+,2019,40
1191,"[('A18', 'end'), ('C13', 'hold'), ('D15', 'hold'), ('E11', 'hold'), ('F4', 'start'), ('G9', 'hold')]",6C,2019,40
1192,"[('C12', 'hold'), ('D8', 'hold'), ('E9', 'hold'), ('E14', 'hold'), ('E17', 'hold'), ('F16', 'hold'), ('F13', 'hold'), ('F3', 'start'), ('H4', 'start'), ('I18', 'end')]",6C,2019,40
1193,"[('A5', 'start'), ('A9', 'hold'), ('E11', 'hold'), ('E14', 'hold'), ('I15', 'hold'), ('I18', 'end')]",6C,2019,40
