,holds,grades
127,"[('E13', 'hold'), ('F18', 'end'), ('F8', 'hold'), ('F5', 'start'), ('G13', 'hold'), ('H10', 'hold'), ('H5', 'start')]",6A+
128,"[('D10', 'hold'), ('G6', 'start'), ('G13', 'hold'), ('G14', 'hold'), ('H8', 'hold'), ('J18', 'end'), ('J16', 'hold'), ('J4', 'start')]",6A+
129,"[('B18', 'end'), ('C16', 'hold'), ('G13', 'hold'), ('H10', 'hold'), ('H5', 'start')]",6A+
130,"[('A18', 'end'), ('C13', 'hold'), ('D17', 'hold'), ('F5', 'start'), ('G14', 'hold'), ('H10', 'hold'), ('H1', 'start'), ('I8', 'hold')]",6A+
131,,6A+
132,"[('E8', 'hold'), ('F5', 'start'), ('H18', 'end'), ('H10', 'hold'), ('I8', 'hold'), ('I16', 'hold'), ('K13', 'hold'), ('K17', 'hold')]",6A+
133,"[('D15', 'hold'), ('D9', 'hold'), ('F12', 'hold'), ('F5', 'start'), ('G13', 'hold'), ('H18', 'end'), ('H10', 'hold')]",6A+
134,"[('A5', 'start'), ('A6', 'start'), ('D16', 'hold'), ('D9', 'hold'), ('F18', 'end'), ('F12', 'hold'), ('F5', 'hold'), ('G10', 'hold'), ('G13', 'hold')]",6A+
135,"[('C13', 'hold'), ('D16', 'hold'), ('D15', 'hold'), ('E8', 'hold'), ('F4', 'start'), ('H18', 'end'), ('H10', 'hold')]",6A+
136,"[('D15', 'hold'), ('E8', 'hold'), ('F18', 'end'), ('F12', 'hold'), ('F5', 'start'), ('G13', 'hold'), ('H10', 'hold')]",6A+
137,"[('F5', 'start'), ('H18', 'end'), ('H10', 'hold'), ('I8', 'hold'), ('K13', 'hold'), ('K15', 'hold'), ('K17', 'hold')]",6A+
138,"[('A11', 'hold'), ('A16', 'hold'), ('B13', 'hold'), ('D18', 'end'), ('E4', 'start'), ('E8', 'hold'), ('H3', 'start')]",6B
139,"[('C16', 'hold'), ('D11', 'hold'), ('F18', 'end'), ('F13', 'hold'), ('F8', 'hold'), ('F5', 'start'), ('J2', 'start')]",6B
140,"[('E3', 'start'), ('E8', 'hold'), ('F4', 'start'), ('H18', 'end'), ('H15', 'hold'), ('H14', 'hold'), ('I10', 'hold'), ('J11', 'hold'), ('J4', 'hold')]",6B
141,"[('A8', 'hold'), ('D5', 'start'), ('E11', 'hold'), ('E13', 'hold'), ('F5', 'start'), ('H18', 'end'), ('J16', 'hold')]",6B
142,"[('D18', 'end'), ('E4', 'start'), ('E14', 'hold'), ('F18', 'end'), ('G13', 'hold'), ('H17', 'hold'), ('H10', 'hold'), ('I5', 'start'), ('I8', 'hold'), ('K1', 'hold')]",6B
